,Site_Id,Date,Hour,HourDescription,Value,AirQualityCategory,DeterminingPollutant,Parameter.ParameterCode,Parameter.ParameterDescription,Parameter.Units,Parameter.UnitsDescription,Parameter.Category,Parameter.SubCategory,Parameter.Frequency
55,39,2022-02-02,1,12 am - 1 am,0.371289,GOOD,,NO2,Nitrogen Dioxide,pphm,parts per hundred million,Maximums,Daily,Hourly average
56,39,2022-02-02,1,12 am - 1 am,2.0872,GOOD,,OZONE,Ozone,pphm,parts per hundred million,Maximums,Daily,Hourly average
57,39,2022-02-02,1,12 am - 1 am,,,,PM10,PM10,µg/m³,microgram per cubic meter,Maximums,Daily,Hourly average
58,39,2022-02-02,1,12 am - 1 am,32.577,,,PM10,PM10,µg/m³,microgram per cubic meter,Maximums,Daily,Hourly average
59,107,2022-02-02,1,12 am - 1 am,-0.175382,,,CO,Carbon monoxide,ppm,parts per million,Maximums,Daily,Hourly average
60,107,2022-02-02,1,12 am - 1 am,0.603,,,NEPH,Nephelometer ,10^-4 m^-1,10^-4 m^-1,Maximums,Daily,Hourly average
61,107,2022-02-02,1,12 am - 1 am,1.508385,GOOD,,NO2,Nitrogen Dioxide,pphm,parts per hundred million,Maximums,Daily,Hourly average
62,107,2022-02-02,1,12 am - 1 am,1.7764,GOOD,,OZONE,Ozone,pphm,parts per hundred million,Maximums,Daily,Hourly average
63,107,2022-02-02,1,12 am - 1 am,,,,PM10,PM10,µg/m³,microgram per cubic meter,Maximums,Daily,Hourly average
64,107,2022-02-02,1,12 am - 1 am,27.258,,,PM10,PM10,µg/m³,microgram per cubic meter,Maximums,Daily,Hourly average
65,259,2022-02-02,1,12 am - 1 am,-0.114943,,,CO,Carbon monoxide,ppm,parts per million,Maximums,Daily,Hourly average
66,259,2022-02-02,1,12 am - 1 am,-0.102281,,,CO,Carbon monoxide,ppm,parts per million,Maximums,Daily,Hourly average
67,259,2022-02-02,1,12 am - 1 am,0.527,,,NEPH,Nephelometer ,10^-4 m^-1,10^-4 m^-1,Maximums,Daily,Hourly average
68,259,2022-02-02,1,12 am - 1 am,0.268848,GOOD,,NO2,Nitrogen Dioxide,pphm,parts per hundred million,Maximums,Daily,Hourly average
69,259,2022-02-02,1,12 am - 1 am,2.08286,GOOD,,OZONE,Ozone,pphm,parts per hundred million,Maximums,Daily,Hourly average
70,259,2022-02-02,1,12 am - 1 am,,,,PM10,PM10,µg/m³,microgram per cubic meter,Maximums,Daily,Hourly average
71,287,2022-02-02,1,12 am - 1 am,,,,CO,Carbon monoxide,ppm,parts per million,Maximums,Daily,Hourly average
72,287,2022-02-02,1,12 am - 1 am,0.648,,,NEPH,Nephelometer ,10^-4 m^-1,10^-4 m^-1,Maximums,Daily,Hourly average
73,287,2022-02-02,1,12 am - 1 am,0.930935,GOOD,,NO2,Nitrogen Dioxide,pphm,parts per hundred million,Maximums,Daily,Hourly average
74,287,2022-02-02,1,12 am - 1 am,1.978985,GOOD,,OZONE,Ozone,pphm,parts per hundred million,Maximums,Daily,Hourly average
75,287,2022-02-02,1,12 am - 1 am,,,,PM10,PM10,µg/m³,microgram per cubic meter,Maximums,Daily,Hourly average
